MAT,MAP,CMD
1.5279062291943e-12,6.329728208628868e-7,2.0613347865790657e-31
0.8674721101802807,0.9999999697154378,1.4650482075817472e-18
1.5281844124171392e-16,1.2383103430864876e-21,9.82618332023745e-10
1.3528106174841842e-19,8.162609356131832e-21,1.7980624194235682e-20
2.9169540720012613e-6,0.03018863385292663,9.246400055432039e-9
8.084721005426811e-8,3.662616581459706e-11,8.637035932785393e-12
0.014850730214177967,0.25636645559640053,0.02112993029971768
3.3958140854995346e-18,2.6267123741921523e-13,6.951252780124816e-29
0.021959860950110974,6.452508369967034e-10,0.710467832245103
0.12441652597712347,0.024643508788309787,0.011935293274309986
9.106059395315875e-18,6.522366071681639e-58,0.05533322359483395
0.009879569852288125,5.680432193757068e-16,0.9970994935936471
