S,North,Centre,South,p1_low,p1_up,p2_low,p2_up,p3_low,p3_up,env
-1.9,0,0,0,1,3,1,4,1,2.75,MAP
-1.7,0,0,0,1,4,1,4,1,3,MAP
-1.5,0,0,0,1,5,1,5,1,4,MAP
-1.3,0,0,0,1,6,1,6,1,5,MAP
-1.1,0,0,1,1,7,1,6,1,5,MAP
-0.9,0,0,2,1,8,1,7,1,7,MAP
-0.7,0,0,1,1,9,1,7,1,7,MAP
-0.5,1,0,4,2,10,1,7,1,8.324999999999932,MAP
-0.3,3,11,33,2,10,1,8,1,9,MAP
-0.1,56,71,24,4,14,1,10,8,22,MAP
0.1,59,36,26,7,20,5,16,37.975,57.02499999999998,MAP
0.3,5,6,7,3,13,1,9,1,7,MAP
0.5,2,2,17,3,13.024999999999977,1,7,1,6.125,MAP
0.7,2,0,14,2,12,1,9,1,5,MAP
0.9,0,0,0,2,11,1,9,1,4,MAP
1.1,0,0,0,1,9,1,8,1,3,MAP
1.3,0,0,1,1,9,1,7,1,3,MAP
1.5,0,0,0,1,7,1,5,1,2,MAP
1.7,0,0,0,1,6,1,6,1,2,MAP
1.9,0,0,0,1,5,1,5,1,2,MAP
